Κωδικός;Όνομα;Είδη - Λιανική Τιμή;1η Μ.Μ.;Κλάση Φ.Π.Α.
ΚΑΝ-1928270000;ΑΠΟΡΡΙΠΤΗΣ ΣΩΛΗΝΩΝ 73269098;18,4016;Τεμάχια;Κανονικός
ΚΑΝ-1829198186;ΣΩΛΗΝΑ BLUE FLOOR KANTHERM 17X2.0  39172190;0,6944;ΜΕΤΡΑ;Κανονικός
ΚΑΝ-1829198185;ΣΩΛ. BLUE PERT 17X2.0 600m 39172190;0,7068;Μέτρα;Κανονικός
ΚΑΝ-1829198183;ΣΩΛΗΝΑ BLUE FLOOR KANTHERM 16X2.0(600M) 39172190;0,7688;TEMAXIA;Κανονικός
ΚΑΝ-1818255003;ΠΕΡΙΜΕΤΡΙΚΗ ΤΑΙΝΙΑ 8Χ150Χ25m 39201089;0,9672;ΜΕΤΡΑ;Κανονικός
ΚΑΝ-1818211661;ΠΡΟΦΙΛ ΚΟΜΒΩΝ ΜΕ ΜΟΝΩΣΗ EPS T-26 1.12Μ2 -30-2MM 39203000;14,5258;TEMAXIA;Κανονικός
ΚΑΝ-1818211625;ΠΛΑΚΑ ΚΟΜΒΩΝ 30-2mm (0.8X1.4) 1,12m τμχ 39201089;15,0288;TEMAXIA;Κανονικός
ΚΑΝ-1818211623;ΠΛΑΚΑ ΚΟΜΒΩΝ 11mm (0.8X1.4) PS ΑΛΟΥΜ. 39201089;12,9952;TEMAXIA;Κανονικός
ΚΑΝ-1818211027;ΦΥΛΛΟ ΠΛΑΚΑΣ ΕΝΔΟΔΑΠ.EPS 100038 5m2 -30mm 1Χ5m;34,8068;TEMAXIA;Κανονικός
ΚΑΝ-1810271010;ΡΑΚΟΡ ΘΗΛ.ΚΟΛΛΕΚΤΕΡ KANTHERM 16X3/4 74122000;2,232;TEMAXIA;Κανονικός
ΚΑΝ-1810271001;ΡΑΚΟΡ ΘΗΛ.ΚΟΛΛΕΚΤΕΡ KANTHERM 17X3/4 74122000;2,3188;TEMAXIA;Κανονικός
ΚΑΝ-1802265040;ΠΡΟΣΑΡΜΟΓΕΑΣ ΙΣΧΥΟΣ 230V-24V 84818051;54,2004;TEMAXIA;Κανονικός
ΚΑΝ-1802265039;ΘΕΡΜΟΣΤΑΤΗΣ ΧΩΡΟΥ LCD ΜΕ ΑΙΣΘΗΤ.ΔΑΠ.90321020;128,0176;TEMAXIA;Κανονικός
ΚΑΝ-1802265020;ΘΕΡΜΟΣΤΑΤΗΣ ΧΩΡΟΥ LCD 230V ΘΕΡΜΑΝΣΗΣ 90321020;50,592;TEMAXIA;Κανονικός
ΚΑΝ-1802265019;ΘΕΡΜΟΣΤΑΤΗΣ ΧΩΡΟΥ LCD ΧΩΡΙΣ ΑΙΣΘΗΤ.ΔΑΠ.90321020;102,796;TEMAXIA;Κανονικός
ΚΑΝ-1802212036;ΒΟΗΘΗΤΙΚΟ ΜΟΤΕΡ 230V -M30X1.5 85371091;21,1656;TEMAXIA;Κανονικός
ΚΑΝ-1802212015;ΤΕΡΜ. ΣΕΤ ΨΥΞ.ΘΕΡΜ.230V 6 ΖΩΝ. Κ-800226 90321020;120,156;TEMAXIA;Κανονικός
ΚΑΝ-1802212013;ΤΕΡΜ. ΣΕΤ ΨΥΞ.ΘΕΡΜ.230V 10 ΖΩΝ. 90321020;129,4188;TEMAXIA;Κανονικός
ΚΑΝ-1802012004;ΘΕΡΜΟΣΤΑΤΗΣ ΧΩΡΟΥ LCD 230V ΨΥΞΗΣ-ΘΕΡΜΑΝΣΗΣ  90321020;96,615;Τεμάχια;Κανονικός
