Κωδικός;Όνομα;Είδη - Λιανική Τιμή;1η Μ.Μ.;Κλάση Φ.Π.Α.
203707177;ΣΥΣΚΕΥΗ ΚΑΤΩ ΠΑΓΚΟΥ DP ΜΟΝΗ 1/2 MFO SX-BW 314111;57,04;TEMAXIA;Κανονικός
203707176;SHOWER FILTER KDF 1/2X1/2;18,6;TEMAXIA;Κανονικός
203707175;ΚΟΡΜΟΣ ΕΣΩΤΕΡΙΚΟΣ ΜΑΥΡΟΣ ΧΩΡΙΣ ΚΟΥΜΠΩΜΑΤΑ;5,58;TEMAXIA;Κανονικός
203707174;ΚΕΦΑΛΗ DUPLEX 3P-2P 3/4 AFO SX AB ΜΠΛΕ 229222;31;TEMAXIA;Κανονικός
203707173;ΦΙΛΤΡΟ ΧΡ.ΒΙΔΩΤΟ ΜΕ ΜΕΤΑΛ.ΣΠΙΡΑΛ (2510/S) VI;12,7472;TEMAXIA;Κανονικός
203707172;"ATLAS DP 10"" ΛΕΥΚΟ 1/2"" BW ΜΕ ΒΑΣΗ -ΚΛΕΙΔΙ ΝΙΠΕΛ";47,12;TEMAXIA;Κανονικός
203707171;ΑΝΤΑΛ.ΦΙΛΤΡΟ ΒΡΥΣΗΣ R2 4PACK 500524;34,72;ΣΕΤ;Κανονικός
203707170;RACOR ΧΡΩΜΕ ΠΛΑΣΤΙΚΟ ΦΙΛΤΡΟΥ ΒΡΥΣΗΣ;3,72;TEMAXIA;Κανονικός
203707169;"ΚΙΤ DP 10"" TRIO ΛΕΥΚΟ 1/2 BW ΜΕ ΒΡΥΣΑΚΙ";173,6;TEMAXIA;Κανονικός
203707168;"ΚΙΤ DP 10"" DUO ΛΕΥΚΟ 1/2 BW ΜΕ ΒΡΥΣΑΚΙ";142,6;TEMAXIA;Κανονικός
203707167;ΦΙΛΤΡΟ ΑΝΤΑΛ/ΚΟ ΠΟΛΥΠΡΟΠΥΛΕΝΙΟ CPP 110SX 5m;3,596;TEMAXIA;Κανονικός
203707166;ΡΑΚΟΡ ΨΥΓΕΙΟΥ ΙΣΙΟ ΑΡΣ.1/4 ΣΠΕΙΡ.Χ 1/4;1,86;TEMAXIA;Κανονικός
203707165;ΦΙΛΤΡΟ ΑΝΤΑΛ/ΚΟ ΠΟΛΥΠΡΟΠΥΛΕΝΙΟ CPP 110SX 10m;3,472;TEMAXIA;Κανονικός
203707164;DECAL ΗΛΕΚΤΡ.ΣΥΣΚΕΥΗ ΚΑΤΑ ΤΩΝ ΑΛΑΤΩΝ  3/4;359,6;TEMAXIA;Κανονικός
203707163;CARBON CB-AF PB 10SX 0.5m ATLAS FILTRI USA 320805;44,64;TEMAXIA;Κανονικός
203707162;CARBON CB-AF CTO10SX 5m ATLAS FILTRI USA 320815;27,9;TEMAXIA;Κανονικός
203707161;"ΦΙΛΤΡΟ  KS2 DP BFO ΑΥΤ/ΝΟ 1"" BX";142,6;TEMAXIA;Κανονικός
203707160;"ΦΙΛΤΡΟ K2 DP 2P 1"" BFO BX 261113";190,96;TEMAXIA;Κανονικός
203707159;"ΦΙΛΤΡΟ ΑΥΤ/ΝΟ HYDRA 3/4""N-RAH 90m INOX ΣΙΤΑ 251132";90,52;TEMAXIA;Κανονικός
203707158;"ΚΕΦΑΛΗ 3P-2P 3/4"" AFO SX AB ΜΠΛΕ";11,16;TEMAXIA;Κανονικός
203707157;"ΑΝΤ.ΦΙΛΤΡΟΥ 4018  ΠΟΛΥΠΡ.COLIBRI PP 10"" ΜΗ ΠΛΕΚΤΟ";5,456;TEMAXIA;Κανονικός
203707156;"KS4 DP 3P 2"" DFO CX ΦΙΛΤΡΟ ΑΥΤΟΚΑΘ/ΝΟ";186;TEMAXIA;Κανονικός
203707155;"KS2 DP ΦΙΛΤΡΟ ΑΥΤΟΚΑΘ/ΝΟ ΒFO 1"" BX";142,6;TEMAXIA;Κανονικός
203707154;ΑΝΤΑΛ/ΚΟ ΠΛΕΝΟΜΕΝΟ INOX RA-10C CX 70m;43,4;TEMAXIA;Κανονικός
203707153;ΦΙΛΤΡΟ SENIOR TRIPLEX PLUS 3P AFO 3/4' SX-TS ΔΙΑΦΑΝΕΣ;89,28;TEMAXIA;Κανονικός
203707152;ΑΝΤΑΛ/ΚΟ ΠΛΕΝΟΜΕΝΟ INOX RA-10 C BX 70M;43,4;TEMAXIA;Κανονικός
203707151;KS3 DP 3P ΦΙΛΤΡΟ ΑΥΤΟΚΑΘ/ΝΟ CFO 11/2 CX;165,1;TEMAXIA;Κανονικός
203707150;"ΚΙΤ DP 10"" ΜΟΝΟ ΛΕΥΚΟ 1/2 BW ΜΕ ΒΡΥΣΑΚΙ";111,6;TEMAXIA;Κανονικός
203707149;ΑΝΤΑ/ΚΟ ΓΙΑ ΜΟΛΥΒΔΟ & ΚΑΔΜΙΟ R 3 / R-5;15,996;TEMAXIA;Κανονικός
203707148;KS1 DP ΦΙΛΤΡΟ ΑΥΤΟΚΑΘ/ΝΟ AFO 3/4 BX;183,52;TEMAXIA;Κανονικός
203707146;ΦΙΛΤΡΟ ΔΙΑΦΑΝΕΣ SENIOR 1'' 3P BFO SX-AS 161113;31,992;TEMAXIA;Κανονικός
203707145;ΕΝΕΡΓΟΣ ΑΝΘΡΑΚΑΣ 0,6 MIC 4180;28,52;TEMAXIA;Κανονικός
203707144;ΒΡΥΣΑΚΙ*ΚΛΕΦΤΗΣ ΜΕΤΑΛ.ΜΕ ΒΑΝΑΚΙ ΓΙΑ ΦΙΤΡΟ DP;16,12;TEMAXIA;Κανονικός
203707142;CA-20 SX 25m ΑΝΤΑΛ/ΚΟ ΕΝΕΡΓΟΥ ΑΝΘΡΑΚΑ;31;TEMAXIA;Κανονικός
203707141;ΑΝΤ/ΚΟ ΝΗΜΑΤΟΣ FA-20 SX 25m;9,3;TEMAXIA;Κανονικός
203707140;"MASTER 3P 1"" BFO SX-AS ΔΙΑΦΑΝΕΣ ΦΙΛΤΡΟ";66,96;TEMAXIA;Κανονικός
203707139;"ΦΙΛΤΡΟ ΑΝΤΑΛ/ΚΟ CTO-5"" 5MIC OCEAN";3,41;TEMAXIA;Κανονικός
203707138;ΦΙΛΤΡΟ ΚΑΜΠΑΝΑ ΧΡΩΜΕ ΜΕ ΔΙΑΝΟΜΕΑ DEPURAL;97,96;TEMAXIA;Κανονικός
203707137;"ΣΥΣΚΕΥΗ ΦΙΛΤΡΟΥ 4""-3/4"" MEDIO ΤΕΜ.2";28,272;TEMAXIA;Κανονικός
203707136;"ΑΝΤΑΛ.ΠΟΤΗΡΙ ΣΥΣΚ.ΦΙΛΤΡΟΥ 10"" ΔΙΑΦΑΝΕΣ";13,144;TEMAXIA;Κανονικός
203707135;ΑΝΤΑΛ/ΚΟ ΦΙΛΤΡΟ ΒΡΥΣΗΣ R4 INSTAPURE;12,4;TEMAXIA;Κανονικός
203707134;ΑΝΤΑΛ.ΦΙΛΤΡΟ ΒΡΥΣΗΣ TWIN PACK R2 INSTAPURE 500522;14,75;TEMAXIA;Κανονικός
203707133;ΔΙΑΚΛΑΔΩΤΗΣ ΠΛΑΣΤ.1/2Χ3/4 (4435 ) VI;10,0936;TEMAXIA;Κανονικός
203707132;ΧΑΛΑΖΙΑΣ ΧΥΜΑ 1.5KG ΣΥΣΚ/ΣΙΑ ΣΕ ΚΟΥΤΙ;30,876;TEMAXIA;Κανονικός
203707131;DOSAPROP SENIOR PLUS 3P 3/4 AFO +HA-10 371412;60,76;TEMAXIA;Κανονικός
203707130;HA-7 SX ΑΝΤ/ΚΟ ΜΕ ΧΑΛΑΖΙΑ 0.550gr;12,276;TEMAXIA;Κανονικός
203707129;ΡΑΚΟΡ ΧΡΩΜΕ ΠΛΑΣΤ.ΦΙΛΤΡΟΥ ΒΡΥΣΗΣ;3,72;TEMAXIA;Κανονικός
203707128;ΣΩΛΗΝΑΚΙ ΣΥΝΔΕΣΕΩΣ ΦΙΛΤΡΟΥ ΨΥΓΕΙΟΥ DP 329040;2,48;TEMAXIA;Κανονικός
203707127;ΔΙΑΚΟΠΤΑΚΙ ΓΩΝ. ΓΙΑ ΦΙΛΤΡΟ DP 242.414.00.1;16,12;TEMAXIA;Κανονικός
203707126;ΦΙΛΤΡΟ ΒΡΥΣΗΣ ΛΕΥΚO  F6 INSTAPURE;36,58;TEMAXIA;Κανονικός
203707125;ΣΥΣΤΟΛΕΣ ΟΡΕΙΧ.ΣΕΤ 2ΤΕΜ 4/6-1/4 ΙΣΙΟ ΑΜΕΡ.329032;11,78;ΣΕΤ;Κανονικός
203707124;HA-10SX ΦΥΣΙΓΓΑ ΜΕ ΚΡΥΣΤΑΛ. ΧΑΛΑΖΙΑ 0.900γρ ΕΠΑΝΑΓ.160710;32,24;TEMAXIA;Κανονικός
203707123;ΣΥΣΚ ΦΙΛΤΡΟΥ ΑΡ EASY ΑΥΤΟΚΑΘΑΡΙΖΟΜΕΝΟ (2120) VI;79,1616;TEMAXIA;Κανονικός
203707122;ΑΝΤΑΛ/ΚΟ ΨΥΓΕΙΟΥ CA-SE LINE 5m;18,6;TEMAXIA;Κανονικός
203707121;ΦΙΛΤΡΟ ΨΥΓΕΙΟΥ IN LINE 1/4 01-03079;14,2352;TEMAXIA;Κανονικός
203707120;ΦΙΛΤΡΟ ΑΝΤΑΛ. ΠΟΛΥΠΡΟΠΥΛΕΝΙΟ CPP 110SX 25m 160125;3,968;TEMAXIA;Κανονικός
203707119;ΦΙΛΤΡΟ ΑΝΤΑΛ/ΚΟ CARBON BLOCK MATRIKX PB1 0.5m;13;TEMAXIA;Κανονικός
203707118;ΒΑΣΗ ΤΟΙΧΟΥ DUPLEX ΜΠΛΕ ΓΙΑ ΦΙΛΤΡΑ 3P-2P229262;7,44;TEMAXIA;Κανονικός
203707117;ΒΑΣΗ ΤΟΙΧΟΥ ΜΟΝΗ ΜΠΛΕ ΓΙΑ ΦΙΛΤΡΑ 3P-2P 229261;4,712;TEMAXIA;Κανονικός
203707116;ΦΙΛΤΡΟ ΔΙΑΦΑΝ.SENIOR DUPLEX 3/4 3P AFO SX-161212;66,96;TEMAXIA;Κανονικός
203707115;ΒΡΥΣΑΚΙ ΜΕΤΑΛΛΙΚΟ ΧΩΡΙΣ ΣΩΛΗΝ,ΓΙΑ ΦΙΛΤΡΟ DP;17,35;TEMAXIA;Κανονικός
203707114;ΡΑΚΟΡ ΓΙΑ ΦΙΛΤΡΑ 3P AB ΜΠΛΕ;4,34;TEMAXIA;Κανονικός
203707113;ΓΥΑΛΑ ΓΙΑ SENIOR 3P AS ΔΙΑΦΑΝΗ;9,92;TEMAXIA;Κανονικός
203707112;ΔΙΑΝΟΜΕΑΣ ΜΕΤΑΛ.ΓΙΑ ΦΙΛΤΡΟ ΠΑΓΚΟΥ 109101 339005;15,74;TEMAXIA;Κανονικός
203707111;ΔΙΧΑΛΟ ΜΟΝΟ   FISAGIO 3024/2037 VI;4,464;TEMAXIA;Κανονικός
203707110;ΝΤΟΥΖ-ΜΑΣΑΖ ΑΥΤ/ΝΟ IRIS ΧΡΩΜΕ 3 ΘΕΣΕΩΝ;11,16;TEMAXIA;Κανονικός
203707108;ΚΛΕΙΔΙ ΤΥΠΟΥ U ΓΙΑ ΦΙΛΤΡΑ 3Ρ-2Ρ 229550 329556;3,844;TEMAXIA;Κανονικός
203707107;ΒΑΣΗ ΦΙΛΤΡΟΥ ΜΟΝΗ ΜΠΛΕ ΓΙΑ ΦΙΛΤΡΑ 3Ρ-2Ρ;3,1;TEMAXIA;Κανονικός
203707106;ΑΝΤ/ΚΟ ΕΝΕΡΓΟΥ ΑΝΘΡΑΚΑ CA-5 SX 25m 130425;11,78;TEMAXIA;Κανονικός
203707105;ΑΝΤ/ΚΟ ΠΛΕΝΟΜΕΝΟ ΠΛΑΣΤ.ΣΙΤΑ RL-5 SX 50m;8,06;TEMAXIA;Κανονικός
203707104;ΑΝΤ/ΚΟ ΝΗΜΑΤΟΣ FA-5 SX 25μm ΜΙΑΣ ΧΡΗΣΗΣ 130025;3,224;TEMAXIA;Κανονικός
203707103;ΑΝΤΑΛ/ΚΟ ΕΝΕΡΓΟΥ ΑΝΘΡΑΚΑ CA-7 SX 25m 140425;13,144;TEMAXIA;Κανονικός
203707102;ΑΝΤ/ΚΟ ΠΛΕΝΟΜΕΝΟ ΠΛΑΣΤ.ΣΙΤΑ RL-7SX 50m 140350;12,276;TEMAXIA;Κανονικός
203707101;ΑΝΤΑΛ/ΚΟ ΝΗΜΑΤΟΣ FA-7 SX 25m 140025;3,472;TEMAXIA;Κανονικός
203707100;ΑΝΤ/ΚΟ ΕΝΕΡΓΟΥ ΑΝΘΡΑΚΑ CA -10 SX 25m 160425;13,14;TEMAXIA;Κανονικός
203707099;ΑΝΤ/ΚΟ ΠΛΕΝΟΜΕΝΟ ΠΛΑΣΤ.ΣΙΤΑ RL -10SX 50m 160350;13,64;TEMAXIA;Κανονικός
203707098;ΑΝΤΑΛ/ΚΟ ΝΗΜΑΤΟΣ FA-10 SX 25m ΜΙΑΣ ΧΡΗΣΗΣ 160025;2,976;TEMAXIA;Κανονικός
203707097;ΦΙΛΤΡΟ ΔΙΑΦΑΝΕΣ MEDIUM 3/4 3P AFO SX-AS 131112;22,32;TEMAXIA;Κανονικός
203707096;ΦΙΛΤΡΟ ΔΙΑΦΑΝΕΣ JUNIOR 3/4 3P AFO SX-AS 141112;28,892;TEMAXIA;Κανονικός
203707095;ΦΙΛΤΡΟ ΔΙΑΦ.SENIOR PLUS 3/4 3P AFO SX-AS 161112;30;TEMAXIA;Κανονικός
203707094;ΦΙΛΤΡΟ ΑΝΤΑΛ/ΚΟ CARBON BLOCK MATRIKX +CTO/2 5m;24,8;TEMAXIA;Κανονικός
203707093;ΦΙΛΤΡΟ ΚΑΜΠΑΝΑ ΛΕΥΚΟ ΜΕ ΔΙΑΝΟΜΕΑ DEPURAL*;48,36;TEMAXIA;Κανονικός
203707092;ΑΝΤΑΛ/ΚΟ ΦΙΛΤΡΟ ΒΡΥΣΗΣ R7 INSTAPURE 500570;20,46;TEMAXIA;Κανονικός
203707091;ΑΝΤΑΛ/ΚΟ ΦΙΛΤΡΟ ΒΡΥΣΗΣ R5 INSTAPURE 500550;19,22;TEMAXIA;Κανονικός
203707090;ΑΝΤΑΛ/ΚΟ ΦΙΛΤΡΟ ΒΡΥΣΗΣ R2  F2-3-6-7 1TEM;7,316;TEMAXIA;Κανονικός
203707089;ΦΙΛΤΡΟ ΒΡΥΣΗΣ INSTAPURE ΧΡ.F2 F3 ΧΡ.ΚΑΠΑΚΙ  500152;54,56;TEMAXIA;Κανονικός
203707088;ΣΥΣΚΕΥΗ ΑΥΤΟΚΑΘ/ΝΗ HYDRA 11/4 90M ΜΕ ΣΙΤΑ ΑΝΟΞ.;93;TEMAXIA;Κανονικός
203707087;ΠΡΟΕΚΤΑΣΗ ΜΕ 1 O-RING Φ40 ΓΙΑ ΣΩΛ.ΣΙΦΩΝ.;3,72;TEMAXIA;Κανονικός
203707085;ΒΑΣΗ ΜΕΤΑΛΛΙΚΗ ΓΙΑ ΦΙΛΤΡΟ (2078)VI;10,4532;TEMAXIA;Κανονικός
203707084;ΚΕΡΑΜΙΚΟ 0,45 MIC {1TEM} 2055;14,756;TEMAXIA;Κανονικός
203707083;ΑΝΤΑΛ.ΦΙΛΤΡΟ ΑΝΘΡ.ΓΙΑ AQUA SELECT 2051;9,4612;TEMAXIA;Κανονικός
203707082;ΦΙΛΤΡΟ AQUA SELECT  ΚΕΡ.0.45 MIC. 2052/S;42,6188;TEMAXIA;Κανονικός
203707081;POLYMICRO 1 MIC ΑΝΤΑΛ/ΚΟ QUICK 3055;15,5857;TEMAXIA;Κανονικός
203707080;ΑΝΘΡΑΚΑΣ SENIOR 10 MIC 2035;16,9508;TEMAXIA;Κανονικός
203707079;"ΝΗΜΑ AQUA BIG 5 MIC 9"" 3/4 2090";34,472;TEMAXIA;Κανονικός
203707078;ΦΙΛΤΡΟ ΔΙΑΦΑΝΕΣ MEDIUM 1/2'' 3P ΜFO SX-TS 131111;25,792;TEMAXIA;Κανονικός
203707077;"ΑΝΤΑΛ.ΝΗΜΑ AQUA 5 MIC 9"" 3/4( No 2090)";36,5304;TEMAXIA;Κανονικός
203707076;ΛΑΣΤΙΧΟ ORING (2043)VI;2,8892;TEMAXIA;Κανονικός
203707075;ΑΝΤΑΠΤΟΡΑΣ ΓΙΑ ΦΙΛΤΡΟ 1/2 REVERSIBLE339005;4,83;TEMAXIA;Κανονικός
203707063;ΦΙΛΤΡΟ ΑΛΑΤΩΝ P10 SCALEARMOR 379700;99,2;Τεμάχια;Κανονικός
203707062;ΣΕΤ ΕΞΑΡΤΗΜ.ΓΙΑ ΒΡΥΣΑΚΙ ΜΕΤΑΛ.ΚΑΤΩ Π’ΓΚΟΥ DP329036;2,356;TEMAXIA;Κανονικός
203707061;ΦΛΑΝΤΖΑ ΓΙΑ ΦΙΛΤΡΑ 3P  229570;1,24;TEMAXIA;Κανονικός
203707055;ΕΝ.ΕΡΓΟΣ ΝΘΡΑΚΑΣ ΟΣΜΗΣ & ΓΕΥΣΗΣ 4156;27,8876;TEMAXIA;Κανονικός
203707054;POLYMICRO 5 MIC 2010;8,8164;TEMAXIA;Κανονικός
203707053;ΑΝΤΑΛ/ΚΟ ΕΝΕΡΓΟΥ ΑΝΘΡΑΚΑ CA 10 BX 25mm 260425;15,376;TEMAXIA;Κανονικός
203707052;POLYMICRO 10 MIC 3015;10,8128;TEMAXIA;Κανονικός
203707051;ΑΝΤΑΛ.ΝΗΜΑ+ΑΝΘΡΑΚΑΣ SENIOR 2021 10 MIC;14,5574;TEMAXIA;Κανονικός
203707049;ΕΝΕΡΓΟΣ ΑΝΘΡΑΚΑΣ ΟΣΜΗΣ & ΓΕΥΣΗΣ 4155;14,9916;ΤΕΜΑΧΙΑ;Κανονικός
203707048;ΜΕΜΒΡΑΝΗ WATTS 0,004 MIC No 4150;128,1664;TEMAXIA;Κανονικός
203707047;POLYMICRO 5 MIC No4145;4,1664;TEMAXIA;Κανονικός
203707046;ΛΑΣΤΙΧΑ ΕΚΚΕΝΤΡΑ 20ΜΜ 11-1004 GLORIA;3,3268;TEMAXIA;Κανονικός
203707045;ΣΥΣΤΟΛΕΣ ΠΛΥΝΤ. 09-1476 GLORIA;1,3106;ΤΕΜΑΧΙΑ;Κανονικός
203707044;ΑΝΤΑΛ.ΝΗΜΑ+ΑΝΘΡΑΚΑΣ 5 MIC;10,8252;TEMAXIA;Κανονικός
203707043;ΑΝΤΑΛΛΑΚΤΙΚΑ ΓΙΑ ΚΑΜΠΙΝΕΣ;8,928;TEMAXIA;Κανονικός
203707042;ΦΙΛΤΡΟ ΑΝΤΑΛ/ΚΟ CTO-PLUS 10'' SX 1m;9,2;TEMAXIA;Κανονικός
203707041;"ΦΙΛΤΡΟ ΝΕΡΟΥ 3/4 ΜΕΓΑΛΟ Νο 1352 9"" ΠΛΑΣΤ";27,905;TEMAXIA;Κανονικός
203707040;ΑΝΤΑΛΛΑΚΤΙΚΟ ΑΝΘΡΑΚΑ ΤΕΜ.4+ΑΛΑΤΑ 2805;28,024;ΣΕΤ;Κανονικός
203707039;ΑΝΤΑΛ/ΚΟ ΝΗΜΑ  SENIOR Νο 2020;3,6828;TEMAXIA;Κανονικός
203707038;ΚΕΡΑΜΙΚΟΣ ΑΝΘΡΑΚΑΣ 0,4 MIC 2024;43,586;TEMAXIA;Κανονικός
203707037;ΔΙΧΑΛΟ ΜΟΝΟ  FISAGIO/GALAXY 5037 VI;4,8856;TEMAXIA;Κανονικός
203707036;ΔΙΧΑΛΟ ΔΙΠΛΟ (3026) FISAGIO VI;5,9148;TEMAXIA;Κανονικός
203707035;ΒΡΥΣΑΚΙ ΜΕΤΑΛ/ΚΟ ΓΙΑ ΣΥΣΚ ΚΑΤΩ ΠΑΓΚΟΥ DP  328005;43,4;TEMAXIA;Κανονικός
203707034;ΦΙΛΤΡΟ ΔΙΑΦΑΝΕΣ JUNIOR 1/2 3P MFO SX-TS 141111;27,652;Τεμάχια;Κανονικός
203707033;ΚΕΡΑΜΙΚΟ 0,45 MIC.1 TEM No 20585/S;13,9376;TEMAXIA;Κανονικός
203707032;ΦΙΛΤΡΟ AQUA SELECT ΑΝΘΡ.10 MIC (2050/S) VI;37,2496;TEMAXIA;Κανονικός
203707031;ΑΝΤΑΛΛΑΚΤΙΚΟ ΑΝΘΡΑΚΑ Νο (2800/S) VI;7,4276;TEMAXIA;Κανονικός
203707030;ΦΙΛΤΡΟ ΚΑΘΑΡΙΣΜΟΥ ΜΕ ΑΝΘΡΑΚΑ Νο (2650/S) VI;22,3572;TEMAXIA;Κανονικός
203707029;ΣΩΛΗΝΑΣ ΧΡΩΜΕ Φ10 3Μ;33,6164;TEMAXIA;Κανονικός
203707027;ΠΡΟΕΚΤΑΣΗ ΜΕ 1 O-RING Φ32 ΓΙΑ ΣΩΛ.ΣΙΦΩΝ.;3,1868;TEMAXIA;Κανονικός
203707026;ΦΙΛΤΡΟ ΑΡΣΕΝΙΚΟ 28Χ1 1028;2,418;TEMAXIA;Κανονικός
203707025;ΣΥΣΚΕΥΗ R/O 5 ΣΤΑΔ. 50G ΧΩΡ.ΑΝΤΛΙΑ OCEAN;290,16;TEMAXIA;Κανονικός
203707024;ΦΙΛΤΡΟ ΜΑΚΡΥ ΧΡΩΜΕ (2790/S) VI;4,6376;TEMAXIA;Κανονικός
203707023;ΕΝΕΡΓΟΣ ΑΝΘΡΑΚΑΣ 0,5 MIC 4130;52,948;TEMAXIA;Κανονικός
203707021;POLYMICRO 5 MIC 3074;8,1255;TEMAXIA;Κανονικός
203707020;ΕΝΕΡΓΟΣ ΑΝΘΡΑΚΑΣ 5MIC 4135 3045;25,048;TEMAXIA;Κανονικός
203707019;ΦΙΛΤΡΟ ΚΑΘΑΡΙΣΜΟΥ 3 ΣΤΑΔΙΑ 4110;279,0248;TEMAXIA;Κανονικός
203707018;ΠΡΟΣΘΗΚΗ ΣΙΦΩΝΙΟΥ 846 GHIDINI;2;TEMAXIA;Κανονικός
203707017;ΣΥΣΤΟΛΕΣ ΠΛΥΝΤΗΡΙΟΥ ΓΙΑ ΣΙΦΩΝΙ (1602) VI;1,5996;TEMAXIA;Κανονικός
203707016;ΦΙΛΤΡΟ ΑΡΣΕΝΙΚΟ 24Χ1 (1028) VI;1,7856;TEMAXIA;Κανονικός
203707015;ΔΙΑΚΛΑΔΩΤΗΣ ΑΠΟΧΕΤΕΥΣΕΩΣ (1021 1026) VI;1,3268;TEMAXIA;Κανονικός
203707013;ΠΛΑΣΤΙΚΟ ΠΛΕΝΟΜΕΝΟ 80 MIC;7,3556;TEMAXIA;Κανονικός
203707012;ΒΡΥΣΑΚΙ ΜΕΤΑΛ/ΚΟ ΣΙΑ ΣΥΣΚ.ΚΑΤΩ ΠΑΓΚΟΥ DP 328010;33,48;TEMAXIA;Κανονικός
203707011;ΚΛΕΙΔΙ TIPO V ΦΙΛΤΡΟΥ JUNIOR (2023) VI;4,6872;TEMAXIA;Κανονικός
203707010;ΠΟΤΗΡΙ (ΓΥΑΛΙ) JUNIOR Νο 2040;8,9317;TEMAXIA;Κανονικός
203707009;ΕΞΑΕΡΙΣΤΙΚΟ (ΤΑΠΑ) Νο 2044 VI;1,302;TEMAXIA;Κανονικός
203707008;ΦΙΛΤΡΟ SENIOR DUPLEX PLUS 3P 1''BFO 161213;68,2;TEMAXIA;Κανονικός
203707007;ΑΝΤΑΛ/ΚΟ ΝΗΜΑ No 2014;3,7076;TEMAXIA;Κανονικός
203707006;"ΦΙΛΤΡΑ ΝΕΡΟΥ 1""JUNIOR No 2012";26,9204;TEMAXIA;Κανονικός
203707005;ΣΥΝΔΕΣΜΟΣ ΑΠΟΧ.Νο 1107;0,5208;TEMAXIA;Κανονικός
203707004;ΜΑΣΤΟΙ 3/4 ΠΛΑΣΤ.Νο (1034) VI;0,4216;TEMAXIA;Κανονικός
203707003;ΔΙΑΚΛΑΔΩΤΗΣ ΕΙΣΑΓ.Νο (1010/5) VI;3,472;TEMAXIA;Κανονικός
203707002;ΤΗΛ.ΔΙΑΚ.ΧΡ.SUPERLUX No 522;3,6952;TEMAXIA;Κανονικός
203707001;NHMA + ΑΝΘΡΑΚΑΣ JUNIOR 10 MIC  Νο 2015;14,5576;TEMAXIA;Κανονικός
2037063;ΠΛΑΣΤ.ΣΩΛΗΝΑ Φ63 ΕΛΟΤ 686Β ΛΕΥΚΗ;3,3728;ΜΕΤΡΑ;Κανονικός
203706066;ΕΞΑΓΩΓΗ ΠΛΥΝΤ.11/4- 11/2  (41194);3,8936;TEMAXIA;Κανονικός
203706065;ΠΑΡΟΧΗ ΠΛΥΝΤ INOX 200CM (662) VI;15,984;TEMAXIA;Κανονικός
203706064;ΑΚΡΟΦΥΣΙΟ 1 3/4-2 ΑΛΟΥΜ.ΡΥΘΜ.;22,32;TEMAXIA;Κανονικός
203706063;ΣΥΝΔΕΣΜΟΣ ΣΩΛΗΝΩΝ Φ15Χ15-17Χ17 (1105)VI;0,124;TEMAXIA;Κανονικός
203706062;ΠΑΡΟΧΗ ΠΛΥΝΤ INOX 150CM (661) VI;14,1112;TEMAXIA;Κανονικός
203706061;ΔΙΑΛΥΤΙΚΟ ΑΛΑΤΩΝ ΣΕ ΣΚΟΝΗ ΣΥΣΚ.600GR;5,27;TEMAXIA;Κανονικός
203706060;"ΕΞΑΓΩΓΗ ΠΛΥΝΤ.ΛΕΥΚΗ 1"" ΣΕΤ ΡΑΚΟΡ SPEK 11113   Α300";1,76;TEMAXIA;Κανονικός
203706059;NIPLEX  (4430) VI;0,8928;TEMAXIA;Κανονικός
203706054;ΕΞΑΓ.ΠΛΥΝΤ.ΛΕΥΚΗ 1¨ΣΕΤ ΡΑΚΟΡ 330157;1,5996;TEMAXIA;Κανονικός
203706053;"ΡΑΚΟΡ ΣΥΝΔΕΣΗΣ 2""";6,2;TEMAXIA;Κανονικός
203706052;ΕΞΑΡΤΗΜΑ ΤΑΧ.ΣΥΝΔΕΣΗΣ ΓΩΝΙΑΚΟ 2450;0,8308;TEMAXIA;Κανονικός
203706051;ΠΙΣΤΟΛΙ ΕΚΤΟΞΕΥΤΗΡΑΣ (4600) VI;7,6508;TEMAXIA;Κανονικός
203706050;"ΜΑΓΝΗΤΙΚΟΣΑΠΟΣΚΛΗΡΥΝΤΗΣ MV ΑΛΑΤΩΝ 3/4""";31,5952;TEMAXIA;Κανονικός
203706049;"ΜΑΓΝΗΤΙΚΟΣ ΑΠΟΣΚΛΗΡΥΝΤΗΣ ΑΛΑΤΩΝ 1/2""";18,352;TEMAXIA;Κανονικός
203706048;ΕΞΑΓΩΓΗ ΓΩΝΙΑ ΠΛΥΝΤ. 11/2  Α300 41117 41703;6,2252;TEMAXIA;Κανονικός
203706047;ΑΚΡΟΦΥΣΙΟ Φ19-Φ22  ΕΛΑΣΤ.ΓΙΑ ΣΩΛ.ΕΞΑΓ.ΠΛ;0,4588;TEMAXIA;Κανονικός
203706043;ΡΟΥΞΟΥΝΙ ΕΞΑΓ.ΑΠΟΧ..ΠΛΥΝΤ.1¨ΡΑΚΟΡ;1,5122;TEMAXIA;Κανονικός
203706042;ΠΑΡΟΧΗ 3/4 ΧΑΛΚΙΝΗ Φ22 50CM;12,3256;TEMAXIA;Κανονικός
203706041;ΜΑΓΝ. ΑΠΟΣΚ/ΤΗΣ ΑΛΑΤΩΝ 3/4 (2502) VI;194,308;TEMAXIA;Κανονικός
203706040;ΠΑΡΟΧΕΣ ΠΛΥΝΤΗΡΙΟΥ ΒΤ ΧΡΩΜΕ (664/S) VI;20,9684;TEMAXIA;Κανονικός
